comments,star_rating,tags,compound,sentiment_category,professor_name,ranked_tags_w2v,Tag1,Tag2,Tag3,Tag4,Tag5
"Professor Milburn\'s lectures can at times be dry (due to his sometimes monotone voice), but if you are interested in psychology, there is no way to make this subject boring. His exams are easy, IF you do the online quizzes, which have all the answers in them. Most of the class got C\'s, but that\' due to poor work ethic, he provides the way to an A!",3.2,"dry, monotone, easy exams, online quizzes, poor work ethic, A opportunity",0.3818,positive,Robert Warden,"monotone, dry, poor work ethic, online quizzes, easy exams",monotone,dry,poor work ethic,online quizzes,easy exams
Warden\'s mind is sort of like a lottery ball machine... every now and then a ball will come firing out with a small piece of information but never in a sequential order. Nice guy though.,3.4,"quirky, knowledgeable, friendly",0.4939,positive,William Hollinrake,"friendly, knowledgeable, quirky",friendly,knowledgeable,quirky,,
"Intro to Media Studies, great class. Lectures online, doesn\'t take attendance, but go to recitations because they do help with understanding some of the more complex articles!",3.8,"- great class, lectures online, doesn't take attendance, recitations helpful, complex articles",0.7845,positive,William Hollinrake,"recitations helpful, lectures online, doesn't take attendance, complex articles, - great class",recitations helpful,lectures online,doesn't take attendance,complex articles,- great class
I took his Native American history class for credit and enjoyed it so much that I came back for US Hist. Dr. Boucher is an awesome teacher and I genuinely learned a lot from him,4.3,"knowledgeable, engaging, awesome",0.7579,positive,Michael Scarlatos,"knowledgeable, engaging, awesome",knowledgeable,engaging,awesome,,
"Hybrid class, meets only 6 times in physical class. You will have an assignment due every weekend on blackboard. Somewhat of a tough grader, expects a lot from you. not a bad professor though. relates a lot of real world things/music.",3.7,"Hybrid class, tough grader, expects a lot, not bad professor, relates real world things/music.",0.3291,positive,Wolfgang Ziller,"tough grader, relates real world things/music., not bad professor, hybrid class, expects a lot",tough grader,relates real world things/music.,not bad professor,hybrid class,expects a lot
Great teacher!,3.0,"Great, teacher",0.6249,positive,Robert Warden,"teacher, great",teacher,great,,,
"This guy is a great teacher. He explains the work clearly and all you need to do is write 2 essays, which he works with you, complete a few worksheets over the semester and pass the final. I highly recommend Mr.O\'Brien.",4.5,"great teacher, explains clearly, works with you, highly recommend",0.8622,positive,Diane Reid,"works with you, highly recommend, great teacher, explains clearly",works with you,highly recommend,great teacher,explains clearly,
One of the best prof at Seneca. Shes so nice and easy marker,3.9,"best, nice, easy marker",0.872,positive,Robert Warden,"nice, best, easy marker",nice,best,easy marker,,
SO confusing! And the tests are excruciating. Likes to hear himself talk.,3.6,"confusing, excruciating, likes to hear himself talk",-0.5267,negative,Sally Mallory,"excruciating, confusing, likes to hear himself talk",excruciating,confusing,likes to hear himself talk,,
"She is a great woman with lots of experience in this field. You can know so much new and important stuff in her class, just by listening a lot and keeping your mind open. The class is not difficult, but very interesting. I do RECOMMEND to take this class, and I do RECOMMEND Margaret! She is very knowledgeable and nice!",3.6,"knowledgeable, experienced, great, recommend, interesting, nice",0.9022,positive,Bryan Eldredge,"nice, interesting, great, knowledgeable, experienced",nice,interesting,great,knowledgeable,experienced
She is the best. She is easy and funny. It s really easy to get an A in this class. There are 2 homework in this class and one project they r easy to do. There r 2 tests and she gives u the study guide for them. I highly recommend her,4.8,"best, easy, funny, easy to get an A, easy to do, study guide, recommend",0.9538,positive,William Hollinrake,"easy, funny, best, recommend, study guide",easy,funny,best,recommend,study guide
quite possibly the most arrogant professor i have ever come across. don\'t screw up in front of him - he just loves to make you look stupid.,1.8,"arrogant, strict, intimidating",-0.7269,negative,Deirdre O'Shea,"intimidating, arrogant, strict",intimidating,arrogant,strict,,
"Prof. Curtis is one of the my favorite professors I have taken thus far. I took his class 8:15 in the morning, but it was the best. He is very wise. No textbook, no mid-term or final...just a 1 pg paper every week pertaining to drug/alcohol, and a 6-8 final paper. He is one of the funniest people I have ever met, you will def enjoy his class.",5.0,"favorite, wise, no textbook, no mid-term, no final, weekly paper, funny, enjoyable",0.743,positive,William Hollinrake,"enjoyable, funny, favorite, wise, weekly paper",enjoyable,funny,favorite,wise,weekly paper
"Great Class, Loads of Information So get organized! Lots of Formulas so brush up on some algebra... Just do your work on time & attend every class. Feel free atr ask for help, Zentz prefers people to get help ahead of time, out of class. You will learn alot in this course so dont get behind. Good Luck",3.2,"Great Class, Loads of Information, get organized, Lots of Formulas, brush up on algebra, do work on time, attend every class, ask for help, prefers people to get help ahead of time, learn a lot, don't get behind",0.8591,positive,Robert Warden,"prefers people to get help ahead of time, lots of formulas, loads of information, learn a lot, great class",prefers people to get help ahead of time,lots of formulas,loads of information,learn a lot,great class
Rebecca Comay is eloquent and brilliant. Her instruction in the Hegel course got me far beyond my expectation. The bitterness towards her coherence must be from some combination of a reluctance to read and a small vocabulary.,3.3,"eloquent, brilliant, instruction, Hegel course, expectation, bitterness, coherence, reluctance, read, small vocabulary",-0.0772,negative,Dana Baylard,"eloquent, bitterness, coherence, brilliant, reluctance",eloquent,bitterness,coherence,brilliant,reluctance
Generic intro course lectures. I found them interesting and useful for classes I have taken since then.,2.5,"Generic, interesting, useful",0.6808,positive,Dana Baylard,"useful, interesting, generic",useful,interesting,generic,,
Ms. Usyk is a wonderful teacher. I had a self-paced course and she was always willing to help you anytime you need to. She is also a very nice person.,3.2,"#wonderful, #helpful, #nice",0.0,neutral,Leslie Looney,"#wonderful, #nice, #helpful",#wonderful,#nice,#helpful,,
"if its not Greek its not that important. hey can you guys see this slide? oh forget it it doesn\'t matter (asian arch.) spends 10-15 fixing lighting in order to show greek arch. quote: ""these people blah blah.. This is grotesque"" very closed minded inconsiderate.but he may be a good design professor.",4.6,"closed-minded, inconsiderate, good design professor",0.0,neutral,Panos Alexakos,"inconsiderate, good design professor, closed-minded",inconsiderate,good design professor,closed-minded,,
"Prof. Shangraw will come at you like a raging hawk in the very beginning of each semester. Don\'t worry, he gets better as you get through the program and will eventually be a nice guy to know and learn from. He is very smart and loves BLUF, Bottom Line Up Front, and will tell you exactly what he wants for each assignment.",4.1,"smart, demanding, improves, direct",0.5574,positive,Tina Keeble,"improves, smart, demanding, direct",improves,smart,demanding,direct,
GREAT!!! I took his class over the summer at Moorpark college and kept up with him just fine. He gives real-life applications of the material throughout his lectures & exams. Has a traditional teaching style & provides book problems for help; I did better only going off his notes. Write your notes neat enough to follow along when you REWRITE them!,4.2,"GREAT, real-life applications, traditional teaching style, provides book problems, neat notes, REWRITE",0.7297,positive,Dana Baylard,"rewrite, great, traditional teaching style, real-life applications, provides book problems",rewrite,great,traditional teaching style,real-life applications,provides book problems
He\'s a good teacher but there isn\'t enough time to study for that much information when you have family and kids he\'s really critical on studying and test aren\'t what you think you don\'t really know where the exam is coming from he doesn\'t give reviews or study guides,3.5,"good teacher, critical, lack of time, excessive information, unexpected exams, no reviews, no study guides",-0.6249,negative,Jans Wager,"critical, unexpected exams, no study guides, no reviews, lack of time",critical,unexpected exams,no study guides,no reviews,lack of time
"Shane\'s a hilarious teacher, he always wanted to take the time to help out students do the best they could. If you try in this class its an easy A.",3.7,"funny, helpful, supportive, easy A",0.8689,positive,Robert Warden,"helpful, supportive, funny, easy a",helpful,supportive,funny,easy a,
"Pro:1.Knowledgeable about some aspects of US History 2.Makes lectures interesting 3.Usually friendly Con:1.Clearly liberal(I can\'t even tell if separating fact from opinion)2.Tough Class&High dependency on notes 3.LOTs of reading 4.Having background in history is nearly necessary 5.Disorganized manner, thought, speech and writing",3.2,"knowledgeable, interesting lectures, friendly, liberal, tough class, high dependency on notes, lots of reading, background necessary, disorganized",0.4939,positive,Leslie Looney,"knowledgeable, friendly, disorganized, liberal, tough class",knowledgeable,friendly,disorganized,liberal,tough class
incredible teacher and unbelievable researcher...he has great insights!,5.0,"incredible, unbelievable, great insights",0.7096,positive,William Hollinrake,"unbelievable, incredible, great insights",unbelievable,incredible,great insights,,
It is a pretty easy class. She gives you exactly what you need to know on the tests. As long as you attend class and take good notes you will pass the class.,4.2,"easy, helpful, organized, informative",0.6908,positive,Virgina Rivers,"informative, helpful, easy, organized",informative,helpful,easy,organized,
All I can say is she is the best. I will recommend everyone to take her class.,3.8,"best, recommend",0.7717,positive,Jans Wager,"recommend, best",recommend,best,,,
Overall interesting class. Take if you need to raise your GPA. Pay attention and turn in your assignments. Give effort in this class and you should get a A or B.,4.8,"interesting, raise GPA, pay attention, assignments, effort, A or B",0.3182,positive,Panos Alexakos,"assignments, interesting, effort, raise gpa, pay attention",assignments,interesting,effort,raise gpa,pay attention
"I\'m currently in this class and it sucks. Its friggin health class so it should be easy, and I shouldn\'t have to try gah dammit!anyway... I studied for the last test and didn\'t do so well, even with a study guide. It\'d be more helpful to know exactly what\'s on the test. Wellness project is easy tho.",4.1,"difficult, unhelpful, frustrating, easy",-0.3612,negative,Mara Merlino,"difficult, frustrating, easy, unhelpful",difficult,frustrating,easy,unhelpful,
This guy is very interesting. His lectures aren\'t really helpful when it comes to the tests. With that said he gives a lot of extra points during class so showing up is a good idea. If you read the book it\'s an easy A. He does have a tendency to drone on about himself but the stories are pretty funny (and almost unbelievable).,4.3,"interesting, not helpful, extra points, easy A, tendency to drone on, funny, unbelievable",0.7887,positive,Eleanor Branch,"funny, interesting, unbelievable, tendency to drone on, not helpful",funny,interesting,unbelievable,tendency to drone on,not helpful
I loved this class! Jans is very flexible and open-minded. She just wants to help students learn. Take her class!!,4.5,"flexible, open-minded, helpful",0.5719,positive,Bill Sanders,"flexible, helpful, open-minded",flexible,helpful,open-minded,,
Professor Raj is an all around good professor. He is clear and you will understand the material. His tests are not easy but they are not overly difficult if you pay attention. I would recommend him for DBC.,2.4,"clear, understanding, recommend, good",0.7906,positive,Diane Reid,"clear, good, recommend, understanding",clear,good,recommend,understanding,
Talks very quietly and drones but what he\'s saying is easy to understand. Which is good for me since I suck at econ. He\'s very patient and explains what he wants out of you so it\'s not hard to get good grades. Very nice to students so long as you are nice back.,3.4,"quiet, easy to understand, patient, explains well, nice to students",0.7783,positive,William Hollinrake,"patient, quiet, nice to students, explains well, easy to understand",patient,quiet,nice to students,explains well,easy to understand
"Todd is the best professor i\'ve ever had (like many other students here). I honestly believe he is a complete genius. His lectures are absurdly interesting (and laugh-out-loud hilarious), his assignments are relevant and reasonable, and his ability to relate complex information is unparalleled. Todd has changed my life and i couldn\'t be happier",4.5,"best professor, complete genius, absurdly interesting lectures, laugh-out-loud hilarious, relevant assignments, reasonable assignments, unparalleled ability to relate complex information, life-changing",0.8979,positive,William Hollinrake,"unparalleled ability to relate complex information, relevant assignments, reasonable assignments, life-changing, laugh-out-loud hilarious",unparalleled ability to relate complex information,relevant assignments,reasonable assignments,life-changing,laugh-out-loud hilarious
"Dr. Dunn is an AMAZING professor! She wont give you the class on a silver platter, but when all is said and done you will be very grateful. Heres a hint: she emails the slideshows to you, so take notes on what she says, not whats on the slide. Also, make sure you ask questions! It will help you remember! I promise",3.7,"AMAZING, grateful, emails slideshows, notes, ask questions, remember, promise",0.87,positive,Robert Warden,"grateful, amazing, remember, promise, notes",grateful,amazing,remember,promise,notes
"He was a really good teacher, it could get boring but he let us out early alot and if you do all your work you should do fine.",3.7,"good teacher, boring, lets out early, fine if you do work",0.34,positive,Mara Merlino,"boring, lets out early, good teacher, fine if you do work",boring,lets out early,good teacher,fine if you do work,
Apparently for a beginning classical guitar class you must have been playing and know to read music. I took it for winter intersession for an intro guitar course but from day one he already has the intention of weeding out those who can\'t play. I\'d suggest avoiding him if you\'re trying to learn it for fun.,4.8,"strict, discouraging, high expectations, weeding out",-0.4404,negative,Robert Warden,"strict, discouraging, weeding out, high expectations",strict,discouraging,weeding out,high expectations,
"he is a nice guy and his class is pretty fun. he is a really tough grader though. if you can, take a different teacher for english. i had Professor King for english 2 and did much better than I did in english 1 with zorn",4.2,"nice, fun, tough grader, better",0.8176,positive,Juanita Campos,"nice, fun, better, tough grader",nice,fun,better,tough grader,
the best damn teacher ever!!!She makes algebra so understandable!!,4.7,"best, damn, teacher, algebra, understandable",0.3612,positive,Wolfgang Ziller,"algebra, teacher, damn, understandable, best",algebra,teacher,damn,understandable,best
"He is willing to chat about the material and help you. However, half the time his answers don\'t make sense. Course has 3 non-cumulative midterms, a group presentation and the take home final is two essays. He can be frustrating and unclear but good lecture overall.",3.0,"willing, help, answers don't make sense, frustrating, unclear, good lecture",0.7189,positive,Bryan Eldredge,"unclear, frustrating, willing, help, good lecture",unclear,frustrating,willing,help,good lecture
This professor gave wayyyy too many assignments. We had several repetitious assignments within the first week. I do not like the way he organizes his work on blackboard. He is just a confusing professor overall. I would not recommend taking him........,3.4,"assignments, repetitious, organizes, confusing, not recommend",-0.4606,negative,Robert Warden,"repetitious, confusing, organizes, assignments, not recommend",repetitious,confusing,organizes,assignments,not recommend
"Tough class I will have to say. Professor is very vague, and all of the studying is up to you....no hints at all as to what will be covered. So basically you have to know every word in order to get a good grade. Tough, but I have learned A&P.",2.6,"Tough, vague, independent study, no hints, challenging, learned",-0.3612,negative,Hon Linda,"tough, challenging, vague, learned, no hints",tough,challenging,vague,learned,no hints
"Class structure is great honestly; just do the online homework, exams, and papers. If you try to speak with her outside of office ours (even if it\'s before or after class) she won\'t talk to you and is quite rude about it. Feedback through e-mails are short and obviously rude. Lectures and PowerPoints are very non-specific and all over the place.",4.2,"great class structure, online homework, exams, papers, rude, short feedback, non-specific lectures, disorganized PowerPoints",-0.0258,neutral,Rich Carter,"exams, papers, rude, short feedback, online homework",exams,papers,rude,short feedback,online homework
BEST PROFESSOR EVER! she genuinely cares about giving you an education instead of just helping you simply pass the class. She is funny when necessary and is all around such a great human being. If you respect her and listen to her lectures and do your work you will pass. Definitely will take this class again 100x over,3.8,"BEST PROFESSOR EVER, genuinely cares, education, funny, great human being, respect, lectures, pass, take again",0.9586,positive,Robert Warden,"lectures, education, respect, pass, funny",lectures,education,respect,pass,funny
you really know your stuff,4.7,knowledgeable,0.0,neutral,Juanita Campos,knowledgeable,knowledgeable,,,,
she seems really nice so far.. i think i\'ll like her...,5.0,"nice, like",0.6486,positive,Robert Warden,"nice, like",nice,like,,,
"She is a good helper when you ask her any questions. She spend a lot of time explaining any math problems that you do not understand (if you come to her office). She requires a lot of work from you. Overall, she\'s great.",3.5,"helpful, patient, dedicated, great",0.872,positive,Robin Hochstrasser,"helpful, dedicated, great, patient",helpful,dedicated,great,patient,
Likes absolute control.,4.0,control,0.0,neutral,Jans Wager,control,control,,,,
He\'s an amazing prof. He\'s supportive and helpful. He\'s extremely challenging but he does it in a way that you actually want to work hard and make him proud of you. Excellent guy.,4.4,"supportive, helpful, challenging, excellent",0.8519,positive,Robert Warden,"supportive, helpful, challenging, excellent",supportive,helpful,challenging,excellent,
"If you have to give the class a revised textbook, how about a revised quizbook? Cons: BORING, opinionated, mumbling, subject-changing.Pros: very knowlegable, nice guy.",2.8,"BORING, opinionated, mumbling, subject-changing, knowledgeable, nice",-0.0601,negative,Rich Carter,"opinionated, boring, knowledgeable, nice, mumbling",opinionated,boring,knowledgeable,nice,mumbling
Mr. Shirani is one of the few teachers that gives out very helpful study guides so you know what to study for on the mid/final. 4-5 Homeworks assignments throughout the sem. no group projects. For mid/final study the study guide and in class exercise and you will do fine(write a good cheat sheet)You don\'t have too show up to class.,3.5,"helpful, study guides, homework assignments, mid/final study guide, in class exercises, cheat sheet, independent",-0.0516,negative,Robert Warden,"helpful, independent, study guides, mid/final study guide, in class exercises",helpful,independent,study guides,mid/final study guide,in class exercises
Amazing man!!! Anyone who has been out of school a while should take him. And he is very pleasing on the eyes:),4.9,"Amazing, knowledgeable, engaging, charismatic",0.7351,positive,Leslie Looney,"charismatic, knowledgeable, engaging, amazing",charismatic,knowledgeable,engaging,amazing,
"creative leadership seminar. Absolutely aweful. Class was tense and stressfull as she was always yelling at peoplein front of the class, making people cry, and over all being very offensive. She\'d take anything the wrong way and start yelling at the class. Didnt learn anything, especially not about creativity or leadership.",2.4,"yelling, offensive, stressful, tense, aweful",-0.8271,negative,Robert Warden,"yelling, tense, stressful, offensive, aweful",yelling,tense,stressful,offensive,aweful
"I\'m taken his next semester for TWO different classes. No test, and lot of movies. He is Great, lay back over all a very good teachers. You will not fail",4.7,"Great, laid back, good teacher, will not fail",0.8705,positive,Robin Hochstrasser,"great, will not fail, laid back, good teacher",great,will not fail,laid back,good teacher,
"Awesome. Very knowledgeable, has a clear plan of where she wants to go with the class. Concentrates a lot on radio in the beginning, so expect a lot of historical readings. Very good about answering questions and clarifying when you are confused. Highly recommended.",4.0,"knowledgeable, clear plan, historical readings, answering questions, highly recommended",0.5709,positive,Dana Baylard,"knowledgeable, historical readings, highly recommended, clear plan, answering questions",knowledgeable,historical readings,highly recommended,clear plan,answering questions
"An amazing professor. Very soft-spoken, genteel woman... well-read, open, able to talk intelligently and knowledgably about everything. On top of all of that, she\'s a wonderful person, too!",3.7,"amazing, soft-spoken, genteel, well-read, open, intelligent, knowledgeable, wonderful",0.8885,positive,William Hollinrake,"wonderful, intelligent, knowledgeable, amazing, genteel",wonderful,intelligent,knowledgeable,amazing,genteel
"She is the best ever, she is a true guru of statistics. She has great advice and is very pleasent in sharing her knowledge. Take if you are up for a challenge, her classes will make you a better person.",4.4,"knowledgeable, helpful, challenging, inspiring",0.7351,positive,William Hollinrake,"knowledgeable, helpful, inspiring, challenging",knowledgeable,helpful,inspiring,challenging,
"Great teacher, was able to learn. They provide labs that you need to do. Do those and you can basically pass.",4.2,"Great teacher, able to learn, labs, pass",0.6249,positive,William Hollinrake,"labs, pass, great teacher, able to learn",labs,pass,great teacher,able to learn,
"Tony is a competent professor. His lectures are understandable and he answers questions in a mostly clear manner. However, one thing that was annoying to me was how he bragged every other week about his amazing ratings on this website, and the awards he got from the school because of them. No offense, but he certainly does not live up to the hype.",4.8,"competent, understandable, clear, annoying, bragged, amazing ratings, awards, hype",0.8402,positive,William Hollinrake,"hype, understandable, annoying, clear, bragged",hype,understandable,annoying,clear,bragged
Richard Shockey is a hottie!,4.8,hottie,0.0,neutral,Robert Warden,hottie,hottie,,,,
Prof. Spears is by far the BEST professor/instructor/teacher I have had in my entire University experience. He was always so excited to start the lecture and actually cares about what he is teaching students. I\'ve taken two classes with him already and plan on taking any more that I can in my last year. Highly recommend taking any class he teaches,4.5,"excited, cares, best professor, highly recommend",0.908,positive,William Hollinrake,"excited, cares, highly recommend, best professor",excited,cares,highly recommend,best professor,
"Great class- I learned A LOT! Tests are VERY comprehensive, both from the lectures and the book. A challenging class but well worth it!",3.8,"Great class, learned a lot, comprehensive tests, challenging, well worth it",0.8658,positive,Robert Warden,"challenging, well worth it, learned a lot, great class, comprehensive tests",challenging,well worth it,learned a lot,great class,comprehensive tests
Honestly he\'s a great professor. He\'s not bad at all. All you have to do is show up to his class and listen. What he teaches in class is whats gonna be on the test. study his notes and read the sections he assigns in the book! i got an 84 on the first test and a 96 on the second. havent taken the final yet. To get an A just understand the material,3.1,"great professor, not bad, show up, listen, teaches well, test material, study notes, read sections, high test scores, understand material",0.8422,positive,Robin Hochstrasser,"listen, understand material, test material, teaches well, study notes",listen,understand material,test material,teaches well,study notes
Lots of experiance,3.0,experienced,0.0,neutral,Robert Warden,experienced,experienced,,,,
"I wouldnt call this a class because it is not really a class. Students basically teaching themselves. Weekly quizzes from questions at the end of the book. Exams are tough, but he gives a great curve. Read the BOOK, or else you will struggle with the exmas.",3.3,"tough, great curve, NA",0.5574,positive,Leslie Looney,"na, tough, great curve",na,tough,great curve,,
VERY EASY!!!! and nice to look at.,3.3,"easy, nice",0.6908,positive,Bill Sanders,"nice, easy",nice,easy,,,
"Always go to class, the points can bring you down if you miss. The quizes can be hard, so read your book (don\'t bother trying to google, won\'t find many answers). She is very helpful so ask for help.",4.0,"helpful, strict, challenging",0.5267,positive,Jans Wager,"challenging, helpful, strict",challenging,helpful,strict,,
"LOL, all the bad comments came from FROSH taking Bus 111. I took 2 classes with Tim, it\'s not easy, but I learned and survived. I graduated and appreciate him very much now. He cares about students and wants them to be independent by learning on their own. It is his job to maintain the quality of MIS grads. He\'s one of the best professors at SJSU.",3.3,"caring, challenging, independent, quality maintainer, one of the best",0.8402,positive,Robert Warden,"challenging, caring, independent, quality maintainer, one of the best",challenging,caring,independent,quality maintainer,one of the best
"Super awesome at everything concerning literature, feminism or the Middle East. Great at explaining assignments in multiple ways if you hare having trouble understanding what she is looking for. Excellent feedback on all writing. All around great!",4.0,"knowledgeable, excellent feedback, great explainer, great mentor",0.9169,positive,Mima Petrovic,"knowledgeable, great mentor, great explainer, excellent feedback",knowledgeable,great mentor,great explainer,excellent feedback,
One of the most knowledgeable and caring professors ever!,4.8,"knowledgeable, caring",0.4939,positive,William Hollinrake,"knowledgeable, caring",knowledgeable,caring,,,
"he\'s a gentleman. makes learning a new language like c++ very easy, which infact could be very difficult. Extremely helpful and nice guy. his jokes are not funny at all. take 113 with him",4.2,"gentleman, easy learning, helpful, nice, not funny",0.7264,positive,Robert Warden,"nice, helpful, gentleman, not funny, easy learning",nice,helpful,gentleman,not funny,easy learning
Biology of Science Fiction Spring Semester 2002 Rocked!!!! Such a nice prof. and the class was so fun! Big ups to the talent show! We rocked! One of the most fun and interesting classes I\'ve taken and I\'m not a bio person at all! ~~LL~~,3.6,"nice, fun, interesting, talented",0.9022,positive,Jans Wager,"nice, fun, interesting, talented",nice,fun,interesting,talented,
This is by far the worst instructor I have ever had. She takes for ever to grade assignments but yet she never takes the time to correct her typos. It\'s like she leaves them on purpose. Her tests are really hard and most of the things she tests you over are not in the book or lectures.,1.5,"worst instructor, takes forever to grade assignments, does not correct typos, leaves typos on purpose, tests are really hard, tests cover material not in book or lectures",-0.6997,negative,Nancy Jones,"worst instructor, tests cover material not in book or lectures, tests are really hard, takes forever to grade assignments, leaves typos on purpose",worst instructor,tests cover material not in book or lectures,tests are really hard,takes forever to grade assignments,leaves typos on purpose
"Whether or not you like him will depend on your style. Dr. B gives a lot of hw and tests frequently. This is actually helpful because you get a lot of opportunities to make corrections to your grade. 7 or 8 tests total, 3 of which are in class with a group. He talks a lot and often doesn\'t finish lecture, so prepare to spend time in the TA help lab",4.0,"helpful, frequent tests, corrections, talkative, TA help",0.6705,positive,Jans Wager,"talkative, helpful, corrections, ta help, frequent tests",talkative,helpful,corrections,ta help,frequent tests
"[Im continuing my review from the one below] The other comments seem ridiculous. Her looks don\'t matter, it\'s about how she can help you. If you are not afraid to ask for help take her. She won\'t push you away. She does have a little tardy issue but that just means you can be a little late yourself. I wish she was teaching 131 this semester!",2.4,"helpful, approachable, understanding, punctuality",0.4215,positive,Leslie Looney,"approachable, punctuality, helpful, understanding",approachable,punctuality,helpful,understanding,
Awesome teacher! I luv her class!!!!,4.5,"awesome, luv",0.6249,positive,William Hollinrake,"luv, awesome",luv,awesome,,,
Go to class and read the assigned material and you shouldn\'t have any problem with your grades in the class. Although he tends to go off into tangents about weird things sometimes so his lectures aren\'t always the most interesting.,2.6,"- knowledgeable, organized, tangents, uninteresting",0.0,neutral,Jans Wager,"tangents, uninteresting, organized, - knowledgeable",tangents,uninteresting,organized,- knowledgeable,
"This by far one of the most knowledgeable professors WMU has. Her class was tough and she makes you work for it but if you go to class and actually study the in class notes you wrote (that is exactly what is on the exam BTW), you will pass and more importantly LEARN. Probably wont get an A though. DO NO BUY THE BOOK DO NOT BUY THE BOOK!",4.7,"knowledgeable, tough, makes you work, pass, learn",-0.128,negative,William Hollinrake,"knowledgeable, learn, tough, pass, makes you work",knowledgeable,learn,tough,pass,makes you work
"Gay is a wonderful professor! I have taken her for two courses (ARH 390W and ARH 498). Each course consists of 2 papers and 3-4 Image Exams. Class consists of her opening with a fun video and lecturing with a PowerPoint. No notes need to be taken, she practically gives you the exam on the study guide. Great class and great professor!",4.8,"Wonderful professor, Fun, Engaging, Clear, Organized, Helpful, Great class",0.9578,positive,Jans Wager,"fun, helpful, engaging, organized, clear",fun,helpful,engaging,organized,clear
Courses taught are very boring and structured poorly. You\'d learn more alone.,2.8,"boring, structured poorly, NA",-0.3182,negative,Robert Warden,"na, boring, structured poorly",na,boring,structured poorly,,
"Excellent, Innovative. Higher Ed\'s best",4.1,"Excellent, Innovative, Higher Ed's best",0.8957,positive,William Hollinrake,"innovative, excellent, higher ed's best",innovative,excellent,higher ed's best,,
worst prof ever. no one got higher than a B in the class. He told us that the semester would get better as it progressed as long as you applied what you\'ve learned... for the term essay (worth 35%) the class average was a D+. He\'s the kind of prof that never made it further in his field and is taking his frustration out on his students.,3.0,"worst, B, D+, frustrated",-0.8176,negative,Jans Wager,"worst, frustrated, b, d+",worst,frustrated,b,d+,
"Almost 40 years later, I remember Peter Bloom for inspiring me to become a scholar. Peter taught me the joy of reading critically, writing well, and thinking logically. He changed my life, and I am grateful.",3.5,"inspiring, scholar, joy of reading, writing well, thinking logically, changed my life, grateful",0.8934,positive,Mulloy Robertson,"grateful, inspiring, scholar, writing well, thinking logically",grateful,inspiring,scholar,writing well,thinking logically
"Dr. M. Jackson-Jones is the professor everybody wants. She is always on point, very knowledgeable, understanding, charismatic, and interesting teacher. I had her for World Literature and there simply isn\'t a better teacher. She doesn\'t play any games and definitely doesn\'t put up with foolishness. She gives and deserves respect. RESPECT",3.5,"knowledgeable, understanding, charismatic, interesting, respectful",0.6908,positive,Dana Baylard,"knowledgeable, respectful, charismatic, understanding, interesting",knowledgeable,respectful,charismatic,understanding,interesting
"Amazing prof, really cares about his students. Posts very detailed notes online to make sure everybody understands. Lectures are entertaining and funny. Assignments are very interesting. Exams are fair and the exam material is explicitly laid out beforehand. He puts emphasis on the exactness of communications to avoid any ambiguity.",3.8,"caring, detailed, entertaining, funny, interesting, fair, explicit, emphasis on exactness",0.9186,positive,Jeffrey Kent,"entertaining, funny, interesting, explicit, detailed",entertaining,funny,interesting,explicit,detailed
Dr. Renick is the best professor. She knows her subject and explains everything very well. Very fair...,3.0,"best professor, knowledgeable, explains well, fair",0.8225,positive,Robert Warden,"knowledgeable, fair, explains well, best professor",knowledgeable,fair,explains well,best professor,
Very amusing and funny prof. Exams are easy if you read all chapters before exam and attend all lectures. exam format: 40 MC (2 pts ea) and 2 Applied free resonse problems broken into parts (10 pts ea). Final format: 1st part: 3rd non-cumulative exam (same as above). 2nd part cumulative: 40 MC drawn from practice online quizzes (identical! easy.),3.8,"amusing, funny, easy exams, lectures, cumulative, practice quizzes, identical",0.8126,positive,William Hollinrake,"amusing, funny, identical, lectures, cumulative",amusing,funny,identical,lectures,cumulative
"Craig loves photography and loves to teach it. He gives out weekly assignments, but they\'re typically easy. He\'s always a joy in class and teaches tips and tricks in photoshop that most people didn\'t know. He\'s been using photoshop since version 1. Take digital imaging from him, he\'s much more experienced than others teaching it.",4.8,"passionate, knowledgeable, engaging, experienced, skilled, helpful",0.8225,positive,Jans Wager,"knowledgeable, skilled, passionate, experienced, helpful",knowledgeable,skilled,passionate,experienced,helpful
If you take this teacher online he is useless. Don\'t know how to work ecampus will receive incorrect grades and when you email him about it good luck getting a response,3.6,"useless, unresponsive, incorrect grades",-0.4215,negative,Robert Warden,"unresponsive, useless, incorrect grades",unresponsive,useless,incorrect grades,,
Has lots of experience.Very approachable. In this field we need a caring side for patients and not just Porfessor side. They both work together. She has it!,4.3,"experienced, approachable, caring",0.4939,positive,Robert Warden,"approachable, caring, experienced",approachable,caring,experienced,,
"Solid choice for Accounting 1, wonderful professor! Highly recommend!",4.1,"Solid, wonderful, highly recommend",0.796,positive,Leslie Looney,"wonderful, solid, highly recommend",wonderful,solid,highly recommend,,
Very helpful! He really understands students and is willing to work with you. One of the best professors I\'ve ever had! Really funny as well!,4.2,"helpful, understanding, willing to work with students, best professor, funny",0.872,positive,Anita Hampton,"helpful, funny, understanding, willing to work with students, best professor",helpful,funny,understanding,willing to work with students,best professor
